stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
march2026_retrospective,KZT,synth_full2010_D3,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,22.760199076926774,16.24395325036821,107.94156365535989,0.24210031349004837,0.6955455866737262,0.6421734234234234,0.1419053032072506,122,122,1.1136363636363638,1.0,1.0
march2026_retrospective,KZT,synth_kzt_basis2010_D2,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.2477347310874279,0.7052449391789539,0.6421734234234234,0.16832451332362383,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_kzt_basis2010_halyk_D2,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,19.649493765924653,12.262055195432435,114.87140745080362,0.24381358641280662,0.6964984868229831,0.647240990990991,0.14843621966680723,122,122,1.1136363636363638,1.0,1.0
march2026_retrospective,KZT,synth_kzt_basis2010_halyk_D3,2026-03-03,2026-08-25,29.0,0.3793103448275862,0.9640804597701149,8.796218951051765,9.885561580397997,120.63828016505065,0.2476033141474987,0.7016324294971384,0.6300675675675675,0.14886699334285072,122,122,1.1534090909090908,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_kzt_basis2010_halyk_H1O2,2026-03-03,2026-08-25,27.0,0.5555555555555556,1.4120370370370372,32.22009876634497,19.719734890219907,106.4418754192078,0.23598015040632908,0.6788977120029511,0.6725788288288289,0.13722201636058612,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_kzt_halyk_D1,2026-03-03,2026-08-25,29.0,0.41379310344827586,1.0517241379310345,18.63150527164467,18.146013297625466,112.92859200762823,0.23539721114691572,0.6767199344978325,0.6708896396396398,0.13553667355990567,122,122,1.1534090909090908,1.0,1.0
march2026_retrospective,KZT,synth_kzt_halyk_D2,2026-03-03,2026-08-25,28.0,0.4642857142857143,1.1800595238095237,19.512812290443566,9.851502493091445,114.56494637996573,0.24463448367814725,0.6978166641589776,0.6492117117117118,0.14512258030517367,122,122,1.1136363636363638,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_kzt_halyk_D3,2026-03-03,2026-08-25,27.0,0.5185185185185185,1.3179012345679013,25.919400887937485,17.536009828161767,112.15252477743343,0.24633764979581668,0.6979160682260968,0.6418918918918919,0.1509792791116338,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_kzt_no_oxr,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.24685799881933662,0.7010092944721293,0.6469594594594594,0.15939094753826802,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_no_oxr,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.24230692627283393,0.6959078169395776,0.6469594594594594,0.14035884662119807,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,v3_long,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,25.807007119384405,20.12676006110257,105.1510924005928,0.2422858871035243,0.696701533903747,0.6480855855855856,0.1387483872814286,122,122,1.0738636363636365,1.0,1.0
