scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
base,4101,2023,matched_calendar,historical_tajik_monthly_share_stress,49.714285714285715,6.309,0.869,0.30000000000000004,6.897,6.897,491019.36999130854,491019.36999130854,256.70516451502306,250.396164515023,0.0,30876.43982943852,2.1060000000000003,0.166,1.6190000000000002,-118.25842074198786,0.13773973688381677,5.228004844688041,0.0
base,4101,2023,matched_random_market,historical_tajik_monthly_share_stress,49.714285714285715,6.309,0.617,0.315,6.897,6.897,491019.36999130854,491019.36999130854,557.797823050189,551.488823050189,0.0,41093.684842591385,1.243,0.017,3.503,580.864078595502,0.09779679822475827,11.359996308497209,0.0
base,4101,2023,user_aware,historical_tajik_monthly_share_stress,49.714285714285715,6.309,3.487,1.234,6.897,6.897,491019.36999130854,491019.36999130854,1322.6592229952223,1316.3502229952223,0.0,110056.81325238815,5.5760000000000005,0.367,3.504,612.2905944126799,0.5527024885084799,26.937007047576035,0.0
base,4101,2023,weekly_fixed,historical_tajik_monthly_share_stress,49.714285714285715,50.0,5.595000000000001,1.407,6.897,6.897,491019.36999130854,491019.36999130854,-0.7354296375324907,-50.73542963753248,0.0,106786.18553062555,5.523000000000001,0.716,17.0,840.4019984270908,0.11190000000000001,-0.01497760948912277,0.0
base,4101,2024,frequency_gate,historical_tajik_monthly_share_stress,50.0,8.218,1.472,0.585,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,-63.95657587780618,-72.17457587780616,0.0,40081.02881511962,2.832,0.167,3.8820000000000006,405.7287902444865,0.17911900705767828,-1.3463247834737389,0.0
base,4101,2024,market_only,historical_tajik_monthly_share_stress,50.0,49.60000000000001,5.061,1.405,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,-124.90910524204082,-174.5091052420408,0.0,94042.05774054545,6.041,0.5010000000000001,22.0,2123.8878836886806,0.10203629032258063,-2.629412562520342,0.0
base,4101,2024,matched_calendar,historical_tajik_monthly_share_stress,50.0,6.545000000000001,0.6030000000000001,0.21700000000000003,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,-14.699863839958919,-21.24486383995892,0.0,8313.704174972603,1.1760000000000002,0.066,1.738,-276.28950939324807,0.09213139801375096,-0.30944106575120467,0.0
base,4101,2024,matched_random_market,historical_tajik_monthly_share_stress,50.0,6.545000000000001,0.8200000000000001,0.184,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,26.06237132266548,19.51737132266548,0.0,9702.537062525986,0.752,0.1,2.803,239.7573297743504,0.12528647822765468,0.5486287523403195,0.0
base,4101,2024,user_aware,historical_tajik_monthly_share_stress,50.0,6.545000000000001,3.7060000000000004,1.4690000000000003,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,130.46115556938716,123.9161555693872,0.0,111894.43869932287,6.497999999999999,0.41700000000000004,3.1750000000000003,346.2740123634477,0.5662337662337662,2.7462865954435736,0.0
base,4101,2024,weekly_fixed,historical_tajik_monthly_share_stress,50.0,51.0,5.161,1.2730000000000001,6.797000000000001,6.797000000000001,475045.66998156067,475045.66998156067,305.63738682280484,254.6373868228049,0.0,85433.94060278876,5.574,0.486,14.400000000000002,264.48725235553195,0.10119607843137254,6.433852703776217,0.0
