effective_date,available_at,symbol,normalized_value,normalized_unit
2021-01-20,2021-01-20 00:00:00+00:00,USD,73.7243,RUB_per_USD
2021-01-21,2021-01-21 00:00:00+00:00,CNY,11.3416,RUB_per_CNY
2021-01-21,2021-01-21 00:00:00+00:00,KZT,0.175272,RUB_per_KZT
2021-01-21,2021-01-21 00:00:00+00:00,USD,73.355,RUB_per_USD
2021-01-22,2021-01-22 00:00:00+00:00,CNY,11.3496,RUB_per_CNY
2021-01-22,2021-01-22 00:00:00+00:00,KZT,0.175298,RUB_per_KZT
2021-01-22,2021-01-22 00:00:00+00:00,USD,73.3694,RUB_per_USD
2021-01-23,2021-01-23 00:00:00+00:00,CNY,11.4789,RUB_per_CNY
2021-01-23,2021-01-23 00:00:00+00:00,KZT,0.176929,RUB_per_KZT
2021-01-23,2021-01-23 00:00:00+00:00,USD,74.3615,RUB_per_USD
2021-01-26,2021-01-26 00:00:00+00:00,CNY,11.5575,RUB_per_CNY
2021-01-26,2021-01-26 00:00:00+00:00,KZT,0.177938,RUB_per_KZT
2021-01-26,2021-01-26 00:00:00+00:00,USD,74.8569,RUB_per_USD
2021-01-27,2021-01-27 00:00:00+00:00,CNY,11.6797,RUB_per_CNY
2021-01-27,2021-01-27 00:00:00+00:00,KZT,0.178981,RUB_per_KZT
2021-01-27,2021-01-27 00:00:00+00:00,USD,75.6354,RUB_per_USD
2021-01-28,2021-01-28 00:00:00+00:00,CNY,11.6044,RUB_per_CNY
2021-01-28,2021-01-28 00:00:00+00:00,KZT,0.177866,RUB_per_KZT
2021-01-28,2021-01-28 00:00:00+00:00,USD,75.04,RUB_per_USD
2021-01-29,2021-01-29 00:00:00+00:00,CNY,11.7637,RUB_per_CNY
2021-01-29,2021-01-29 00:00:00+00:00,KZT,0.179602,RUB_per_KZT
2021-01-29,2021-01-29 00:00:00+00:00,USD,76.1854,RUB_per_USD
2021-01-30,2021-01-30 00:00:00+00:00,CNY,11.8024,RUB_per_CNY
2021-01-30,2021-01-30 00:00:00+00:00,KZT,0.179782,RUB_per_KZT
2021-01-30,2021-01-30 00:00:00+00:00,USD,76.2527,RUB_per_USD
2021-02-02,2021-02-02 00:00:00+00:00,CNY,11.6787,RUB_per_CNY
2021-02-02,2021-02-02 00:00:00+00:00,KZT,0.178083,RUB_per_KZT
2021-02-02,2021-02-02 00:00:00+00:00,USD,75.5053,RUB_per_USD
2021-02-03,2021-02-03 00:00:00+00:00,CNY,11.7498,RUB_per_CNY
2021-02-03,2021-02-03 00:00:00+00:00,KZT,0.1791229999999999,RUB_per_KZT
2021-02-03,2021-02-03 00:00:00+00:00,USD,75.9051,RUB_per_USD
2021-02-04,2021-02-04 00:00:00+00:00,CNY,11.7813,RUB_per_CNY
2021-02-04,2021-02-04 00:00:00+00:00,KZT,0.179587,RUB_per_KZT
2021-02-04,2021-02-04 00:00:00+00:00,USD,76.0801,RUB_per_USD
2021-02-05,2021-02-05 00:00:00+00:00,CNY,11.7165,RUB_per_CNY
2021-02-05,2021-02-05 00:00:00+00:00,KZT,0.179521,RUB_per_KZT
2021-02-05,2021-02-05 00:00:00+00:00,USD,75.7293,RUB_per_USD
2021-02-06,2021-02-06 00:00:00+00:00,CNY,11.5919,RUB_per_CNY
2021-02-06,2021-02-06 00:00:00+00:00,KZT,0.178754,RUB_per_KZT
2021-02-06,2021-02-06 00:00:00+00:00,USD,75.1107,RUB_per_USD
2021-02-09,2021-02-09 00:00:00+00:00,CNY,11.4981,RUB_per_CNY
2021-02-09,2021-02-09 00:00:00+00:00,KZT,0.177342,RUB_per_KZT
2021-02-09,2021-02-09 00:00:00+00:00,USD,74.2602,RUB_per_USD
2021-02-10,2021-02-10 00:00:00+00:00,CNY,11.4935,RUB_per_CNY
2021-02-10,2021-02-10 00:00:00+00:00,KZT,0.177153,RUB_per_KZT
2021-02-10,2021-02-10 00:00:00+00:00,USD,74.1192,RUB_per_USD
2021-02-11,2021-02-11 00:00:00+00:00,CNY,11.4712,RUB_per_CNY
